com_code,course_code,course_name,instructors,hits
1451,"ECON F343","ECONOMIC ANAL OF PUB POL","DURGESH C PATHAK,Durgesh C Pathak",0
2184,"ECON F345","BEHAVIORAL ECONOMICS","DUSHYANT KUMAR",0
1565,"ECON F354","DERIVATIVES & RISK MGMT","SHREYA BISWAS,Pratheeksha G",0
1547,"ECON F355","BUSS ANAL & VALUATION","NIRANJAN SWAIN,Shreya Lahiri",0
1684,"ECON F366","LABORATORY PROJECT","MINI THOMAS",0
1741,"ECON F367","LABORATORY PROJECT","MINI THOMAS",0
1690,"ECON F376","DESIGN PROJECT","MINI THOMAS",0
1757,"ECON F377","DESIGN PROJECT","MINI THOMAS",0
1550,"ECON F411","PROJECT APPRAISAL","SUNNY KUMAR SINGH",0
1566,"ECON F412","SECUR ANAL & PORTFOL MGT","SHREYA BISWAS,Nivedita Sinha",0
1590,"ECON F416","REGIONAL ECONOMICS","VIVEKANANDA MUKHERJE",0
1874,"ECON F434","INTERNATIONAL BUSINESS","ARCHANA SRIVASTAVA",0
1875,"ECON F435","MARKETING RESEARCH","C H YAGANTI",0
1726,"ECON F491","SPECIAL PROJECT","MINI THOMAS",0
2494,"EEE F216","ELECTRONIC DEVICE SIMULATION LAB","SAYAN KANUNGO,Aditya Tiwari,Parikshit Parshuram Sahatiy",0
1238,"EEE F241","MICROPROC & INTERFACING","PRASHANT WALI,Gopal Krishna Kamath M,Prashant Wali,Swapna Challagundla,Anil Kumar U,Gowtham Polumati,Harish Vijay Dixit,Swapna Challagundla,S K Sahoo,Mrunali Dnyaneshwar Wagh,Soumya J,TO BE ANNOUNCED,Soumya J,TO BE ANNOUNCED,Naveen Bokka,TO BE ANNOUNCED,Sourav Nandi,Battina Sindhu,Sourav Nandi,Battina Sindhu,Karumbaiah Chappanda Nan,Sarda Sharma,Karumbaiah Chappanda Nan,Sarda Sharma,Ramakant,Mrunali Dnyaneshwar Wagh,Ramakant,Gowtham Polumati,Anil Kumar U,Jayapiriya U S,TO BE ANNOUNCED,Kurakula Anudeep,Naveen Bokka,Kurakula Anudeep,Prashant Wali,Prashant Wali,Gopal Krishna Kamath M,Gopal Krishna Kamath M,Runa Kumari,Chetan Kumar V,Chetan Kumar V,Prashant Wali,Gopal Krishna Kamath M,Subhradeep Pal,Subhradeep Pal",0
1239,"EEE F242","CONTROL SYSTEMS","PRATYUSH CHAKRABORT,Ankur Bhattacharjee,Alivelu Manga Parimi,Joyjit Mukherjee,Ankur Bhattacharjee,Ankur Bhattacharjee,Alivelu Manga Parimi,Manish Laxminarayan Bhaiy,Pratyush Chakraborty,Pratyush Chakraborty,Joyjit Mukherjee",0
1240,"EEE F243","SIGNALS & SYSTEMS","RAMAKANT,BVVSN Prabhakar Rao,Ramakant,BVVSN Prabhakar Rao,BVVSN Prabhakar Rao,Venkateswaran R,Venkateswaran R,Amit Ranjan Azad,Amit Ranjan Azad",0
1241,"EEE F244","MICROELECTRONIC CIRCUITS","SYED ERSHAD AHMED,Karumbaiah Chappanda Nan,Syed Ershad Ahmed,Syed Ershad Ahmed,Syed Ershad Ahmed,Karumbaiah Chappanda Nan,Karumbaiah Chappanda Nan,Surya Shankar Dan,Surya Shankar Dan",0
1889,"EEE F245","CONTROL SYSTEMS LABORATORY","SANDEEP KUMAR,Shrimathi H P,Sandeep Kumar,Priyalatha. P,Shrimathi H P,STP Srinivas,Priyalatha. P",0
1900,"EEE F246","ELECTRICAL & ELECTRONIC CIRCUITS LABORATORY","BVVSN PRABHAKAR RAO,Jisy N K,Syed Ershad Ahmed,TO BE ANNOUNCED,Venkateswaran R,Adepu Vivek,Himanshi Awasthi,Joyjit Mukherjee,Rabindra Mohanty,Naresh Bahadursha,Pn Sidhartha,Samit Kumar Ghosh",0
1657,"EEE F266","STUDY PROJECT","STP SRINIVAS",0
1244,"EEE F312","POWER SYSTEMS","RABINDRA MOHANTY,N Praneeth,Rabindra Mohanty,Rabindra Mohanty,Mithun Mondal",0
1245,"EEE F341","ANALOG ELECTRONICS","PRASANT KUMAR P,Amit Kumar Panda,Prasant Kumar P,TO BE ANNOUNCED,Prasant Kumar P,TO BE ANNOUNCED,Rajesh Kumar Tripathy,TO BE ANNOUNCED,Chaluvadi V Naga Bhaskar,Renuka.H,Joyjit Mukherjee,Chaluvadi V Naga Bhaskar,Joyjit Mukherjee,Prasant Kumar P,Prasant Kumar P,Amit Kumar Panda,Amit Kumar Panda,Rajesh Kumar Tripathy,Rajesh Kumar Tripathy,Rajesh Kumar Tripathy",0
1246,"EEE F342","POWER ELECTRONICS","STP SRINIVAS,Sudha Radhika,Santhi Durganjali Challa,Sudha Radhika,Santhi Durganjali Challa,Sudha Radhika,Nawin Ra,STP Srinivas,Nawin Ra,STP Srinivas,STP Srinivas,Ankur Bhattacharjee,Ankur Bhattacharjee",0
1902,"EEE F348","FPGA BASED SYSTEM DESIGN LAB","AMIT KUMAR PANDA,Aditi Sood,Samala Jagadheesh,Venkatarao Selamneni",0
1731,"EEE F366","LABORATORY PROJECT","SUBHRADEEP PAL",0
1742,"EEE F367","LABORATORY PROJECT","SUBHRADEEP PAL",0
1691,"EEE F376","DESIGN PROJECT","KARUMBAIAH CHAPPANDA",0
1758,"EEE F377","DESIGN PROJECT","KARUMBAIAH CHAPPANDA",0
2288,"EEE F411","INTERNET OF THINGS","SANDEEP KUMAR,Sandeep Kumar,Sree Rama Amrutha Lahari,Sandeep Kumar,Ritesh Kumar Singh,Ponnalagu R N,Ritesh Kumar Singh",0
1260,"EEE F416","DIGITAL COMMUNICATION","BALASUBRAMANIAN M",0
1247,"EEE F432","MEDICAL INSTRUMENTATION","VENKATESWARAN R",0
1257,"EEE F435","DIGITAL IMAGE PROCESSING","SUDHA RADHIKA",0
1855,"EEE F474","ANTENNA THEORY AND DESIGN","HARISH VIJAY DIXIT,Harish Vijay Dixit,Neha Parmar",0
